220	0.0052269	1	-1.9046e-06	-8.0212e-07
240	0.068036	0.62754	0.00017015	4.5679e-17
260	0.092311	0.63196	0.0005449	9.4952e-18
280	0.061473	0.61579	0.00032865	1.2174e-17
300	0.042609	0.60095	0.00011708	1.053e-16
320	0.030101	0.56279	3.1398e-05	4.2455e-19
420	0.69564	0.76575	2.3481e-05	5.304e-16
440	0.09377	0.73142	5.2023e-05	1.1799e-14
460	0.010059	0.6802	0.00010644	8.7659e-15
480	0.0018618	0.61821	0.00020935	5.0791e-18
500	0.00043766	0.49406	0.00030202	1.1775e-17
520	0.00017618	0.40149	0.0003249	3.2739e-13
540	0.00011917	0.35319	0.00023757	4.5717e-12
560	0.00013437	0.2871	0.00012557	8.2134e-12
580	0.00018577	0.21257	4.9577e-05	1.0054e-16
600	0.00021005	0.2637	2.2247e-05	8.7341e-14
620	0.00019839	0.37574	1.2629e-05	1.1197e-16
