240	2.6742	0.38351	3.6641e-05	2.5893e-19
260	26.043	0.65235	0.00061739	1.6358e-16
280	25.226	0.65623	0.00065823	1.433e-17
300	4.2227	0.62632	0.00021606	1.855e-18
320	1.1003	0.5916	6.7153e-05	9.745e-19
340	0.31696	0.5726	2.3155e-05	3.3261e-19
380	0.6667	0.64626	3.1029e-05	1.7296e-14
400	0.57592	0.61715	8.0543e-05	1.1035e-18
420	0.26582	0.57985	0.00018465	6.4803e-16
440	0.11003	0.55678	0.00032378	9.8292e-14
460	0.039417	0.53346	0.00040814	1.6213e-13
480	0.01593	0.51354	0.00035795	2.6883e-14
500	0.010097	0.48587	0.00023542	2.0457e-14
520	0.01057	0.35712	0.00010329	2.1598e-18
540	0.01179	0.42748	4.742e-05	2.1789e-16
560	0.014072	0.46055	2.134e-05	1.207e-16
