60	1.0243e+06	0.93906	4.4623e-05	0.00019993
80	5.3524e+06	0.93512	6.3132e-05	0.00019568
100	36.587	0.91699	6.8165e-05	0.00018642
120	173.15	0.92244	0.00016452	0.00016116
140	30.754	0.8987	0.00039429	0.00010758
160	117.55	0.88819	0.00098241	2.9467e-08
180	0.68532	0.8178	0.00088296	1.7833e-13
200	0.25282	0.7795	0.00087297	5.9444e-12
220	0.17334	0.75603	0.00083757	2.0417e-14
240	0.1436	0.73955	0.00076419	4.8574e-16
260	0.12896	0.72728	0.0006486	5.0696e-17
280	0.11609	0.71909	0.00048762	1.4444e-14
300	0.095469	0.72023	0.00031174	1.9967e-14
320	0.063754	0.73602	0.0001751	4.6367e-14
340	0.029527	0.76792	9.983e-05	6.553e-14
360	0.015877	0.81111	6.7643e-05	4.6855e-16
60	1.0243e+06	0.93906	4.4623e-05	0.00019993
80	5.3524e+06	0.93512	6.3132e-05	0.00019568
100	36.587	0.91699	6.8165e-05	0.00018642
120	173.15	0.92244	0.00016452	0.00016116
140	30.754	0.8987	0.00039429	0.00010758
160	117.55	0.88819	0.00098241	2.9467e-08
180	0.68532	0.8178	0.00088296	1.7833e-13
200	0.25282	0.7795	0.00087297	5.9444e-12
220	0.17334	0.75603	0.00083757	2.0417e-14
240	0.1436	0.73955	0.00076419	4.8574e-16
260	0.12896	0.72728	0.0006486	5.0696e-17
280	0.11609	0.71909	0.00048762	1.4444e-14
300	0.095469	0.72023	0.00031174	1.9967e-14
320	0.063754	0.73602	0.0001751	4.6367e-14
340	0.029527	0.76792	9.983e-05	6.553e-14
360	0.015877	0.81111	6.7643e-05	4.6855e-16
