240	0.37906	0.74595	0.00011831	7.8958e-05
260	5.7158	0.7682	0.00085552	5.2215e-05
280	1.1729	0.72129	0.00064574	8.9008e-05
300	0.3674	0.70664	0.00024619	0.00012275
320	0.2288	0.74724	9.8601e-05	0.00013662
340	0.10533	0.83793	4.9748e-05	0.00013995
400	0.54922	0.76511	3.0093e-05	0.00015492
420	0.15971	0.68807	6.4158e-05	0.00015349
440	0.042299	0.65579	0.00014964	0.0001426
460	0.012667	0.63793	0.00031474	0.00011271
480	0.0034123	0.59387	0.0004425	7.7002e-05
500	0.001049	0.56415	0.00045686	3.8188e-05
520	0.0004969	0.54876	0.00036132	1.317e-05
540	0.00043084	0.53502	0.00020342	1.2732e-05
560	0.00043645	0.54333	9.2902e-05	1.2868e-05
580	0.00061161	0.57342	3.8449e-05	1.5006e-05
240	0.37906	0.74595	0.00011831	7.8958e-05
260	5.7158	0.7682	0.00085552	5.2215e-05
280	1.1729	0.72129	0.00064574	8.9008e-05
300	0.3674	0.70664	0.00024619	0.00012275
320	0.2288	0.74724	9.8601e-05	0.00013662
340	0.10533	0.83793	4.9748e-05	0.00013995
400	0.54922	0.76511	3.0093e-05	0.00015492
420	0.15971	0.68807	6.4158e-05	0.00015349
440	0.042299	0.65579	0.00014964	0.0001426
460	0.012667	0.63793	0.00031474	0.00011271
480	0.0034123	0.59387	0.0004425	7.7002e-05
500	0.001049	0.56415	0.00045686	3.8188e-05
520	0.0004969	0.54876	0.00036132	1.317e-05
540	0.00043084	0.53502	0.00020342	1.2732e-05
560	0.00043645	0.54333	9.2902e-05	1.2868e-05
580	0.00061161	0.57342	3.8449e-05	1.5006e-05
